,1.2.1_SI_POV_NAHC,1.3.1_SI_COV_PENSN,1.4.1_SP_ACS_BSRVH2O,1.4.1_SP_ACS_BSRVSAN,1.a.2_SD_XPD_ESED,10.4.1_SL_EMP_GTOTL,10.5.1_FI_FSI_FSLS,10.5.1_FI_FSI_FSKNL,10.5.1_FI_FSI_FSANL,10.5.1_FI_FSI_FSERA,10.a.1_TM_TRF_ZERO,10.b.1_DC_TRF_TOTL,11.6.2_EN_ATM_PM25,12.2.2_EN_MAT_DOMCMPC,12.2.2_EN_MAT_DOMCMPG,12.4.2_EN_EWT_GENPCAP,16.2.2_VC_HTF_DETV,16.3.2_VC_PRS_UNSEC,16.5.2_IC_FRM_BRIB,16.9.1_SG_REG_BRTH,2.1.1_SN_ITK_DEFC,2.2.1_SH_STA_STUNTN,2.2.1_SH_STA_STUNT,2.2.2_SH_STA_OVRWGTN,2.2.2_SH_STA_WASTEN,2.5.1_ER_GRF_ANIMRCNTN,2.a.1_AG_PRD_ORTIND,2.a.1_AG_XPD_AGSGB,2.a.1_AG_PRD_AGVAS,2.a.2_DC_TOF_AGRL,2.c.1_AG_FPA_CFPI,3.1.1_SH_STA_MMR,3.2.1_SH_DYN_IMRTN,3.2.1_SH_DYN_IMRT,3.2.1_SH_DYN_MORTN,3.2.1_SH_DYN_MORT,3.2.2_SH_DYN_NMRTN,3.2.2_SH_DYN_NMRT,3.3.1_SH_HIV_INCD,3.3.2_SH_TBS_INCID,3.3.4_SH_HAP_HBSAG,3.3.5_SH_TRP_INTVN,3.4.1_SH_DTH_NCOM,3.4.1_SH_DTH_RNCOM,3.4.2_SH_STA_SCIDEN,3.4.2_SH_STA_SCIDE,3.5.1_SH_SUD_ALCOL,3.5.2_SH_ALC_CONSPT,3.6.1_SH_STA_TRAF,3.7.1_SH_FPL_MTMM,3.7.2_SP_DYN_ADKL,3.8.2_SH_XPD_EARN10,3.8.2_SH_XPD_EARN25,3.9.1_SH_AAP_ASMORT,3.9.1_SH_HAP_ASMORT,3.9.2_SH_STA_WASH,3.9.3_SH_STA_POISN,3.b.1_SH_ACS_DTP3,3.b.1_SH_ACS_MCV2,3.b.1_SH_ACS_PCV3,3.b.2_DC_TOF_HLTHL,3.b.2_DC_TOF_HLTHNT,3.c.1_SH_MED_HEAWOR,4.1.1_SE_TOT_PRFL,4.1.2_SE_TOT_CPLR,4.5.1_SE_AGP_CPRA,4.5.1_SE_ALP_CPLR,4.5.1_SE_AWP_CPRA,4.b.1_DC_TOF_SCHIPSL,5.5.1_SG_GEN_LOCGELS,5.5.1_SG_GEN_PARL,5.5.2_IC_GEN_MGTL,6.2.1_SH_SAN_DEFECT,6.4.1_ER_H2O_WUEYST,6.4.2_ER_H2O_STRESS,6.5.1_ER_H2O_IWRMD,6.6.1_EN_WBE_PMPR,6.a.1_DC_TOF_WASHL,6.b.1_ER_H2O_RURP,7.1.1_EG_ELC_ACCS,7.1.2_EG_EGY_CLEAN,7.2.1_EG_FEC_RNEW,7.3.1_EG_EGY_PRIM,8.1.1_NY_GDP_PCAP,8.10.1_FB_ATM_TOTL,8.10.1_FB_CBK_BRCH,8.10.2_FB_BNK_ACCSS,8.2.1_SL_EMP_PCAP,8.6.1_SL_TLF_NEET,8.a.1_DC_TOF_TRDCML,8.a.1_DC_TOF_TRDDBML,9.1.2_IS_RDP_FRGVOL,9.1.2_IS_RDP_PFVOL,9.2.1_NV_IND_MANF,9.2.1_NV_IND_MANFPC,9.2.2_SL_TLF_MANF,9.3.2_FC_ACC_SSID,9.a.1_DC_TOF_INFRAL,9.b.1_NV_IND_TECH,9.c.1_IT_MOB_2GNTWK,9.c.1_IT_MOB_3GNTWK,9.c.1_IT_MOB_4GNTWK,Human Development Index
Latvia,22.5,100.0,98.55,90.61,12.89,53.45,37.15,21.73,5.29,1.18,77.27,1579.9010999999996,13.55,2.99,0.19,10.61,20.0,28.7,3.51,100.0,2.5,242.10590000000008,7.0438,51.97339999999998,57.24379999999996,0.0,0.63,2.22,3.56,39.36780000000002,0.6,19.0,45.33,3.3,53.33,3.87,41.0,2.0,0.24,29.0,0.5,6.0,22.43,3792.5,278.67,22.03,16.3,13.27,9.3,61.613,16.1,15.46,3.5,35.0,7.0,0.0,0.87,96.0,94.0,82.0,38.00730000000001,35.374,23.72,85.03,90.77,1.03,0.93,0.84,4.588,34.01,30.0,44.87,0.0,133.94,1.2,64.0,1.57,58.16370000000002,2.1,100.0,95.0,42.59,3.79,5.85,61.36,14.77,93.28,4.0,7.83,358.7519000000001,333.0137999999999,8215003717.5,7639531958.67,10.51,1710.0,12.9,9.21,357.80819999999994,20.6,99.0,99.0,95.0,0.863
Lebanon,27.4,0.0,92.6,98.48,8.58,47.53,27.19,13.06,10.26,1.22,44.35,1776.81,30.68,1.77,0.25,8.21,57.0,42.3,19.17,99.5,5.7,71.51,16.5,72.38,28.61,0.0,0.08,0.26,3.08,50.29,-0.3,29.0,494.0,6.37,573.33,7.43,505.0,4.3,0.03,11.0,0.2,0.0,17.8,4562.5,132.67,3.3,8.7,1.71,18.1,41.4335,13.3,8.969600000000003,1.2403,51.0,12.17,0.8,0.3,83.0,63.0,82.0,30.96,30.15,15.23,33.44,73.38799999999998,0.9950999999999999,0.8438999999999998,0.4555000000000001,4.21,3.97,4.69,8.44,0.0,25.64,58.8,32.0,0.17,174.52,0.0,100.0,84.79,3.3,4.77,-0.34,39.47,22.31,44.78,-0.3,21.53,256.89,164.67,851003950.64,14887870347.11,7.2,538.5,7.890000000000004,37.15,487.91,15.57,99.5,98.4,98.2,0.706
Lesotho,52.63,94.0,73.64,42.75,13.89,66.73,52.94,5.83,3.66,3.42,90.58,149.09,27.93,2.69,2.05,1.13,6.0,19.5,14.63,44.5,32.6,87.3,34.6,16.56,5.21,0.0,0.52,2.98,5.74,4.12,-0.3,544.0,2451.33,65.5,3038.0,80.93,1968.0,34.9,8.66,611.0,1.6,382336.0,26.83,1274.67,311.33,21.13,5.27,4.69,28.9,79.8,94.0,4.51,1.35,77.0,126.0,44.4,3.13,93.0,82.0,93.0,25.5,24.71,8.32,13.48,31.78,1.21,0.58,0.16,0.36,39.02,23.33,36.08,22.93,39.16,2.6,33.0,0.14,10.27,0.0,41.09,39.0,38.73,8.0,0.4,14.38,3.74,45.54,0.8,30.876299999999986,20.83,17.38,7076256.52,1647490453.46,15.7,197.1,18.0,23.39,10.39,9.478900000000005,98.63,97.84,75.0,0.514
Liberia,57.9,17.032899999999998,72.85,16.87,8.06,38.88,105.34389999999999,10.809399999999997,12.735099999999994,3.200699999999999,75.37,134.87,17.12,0.71,1.76,0.7205000000000001,6.0,60.1,56.11,24.6,37.5,211.72,30.14,18.98,30.31,0.0,0.04,1.97,55.82,23.49,-1.3,661.0,5601.33,53.4,7379.33,70.77,3901.0,24.5,0.46,308.0,7.8,3094538.0,17.6,1292.08,210.0,6.83,5.23,6.12,35.9,41.4,150.3,7.2299000000000015,2.3977,50.0,140.0,41.5,1.8,84.0,61.99,84.0,61.87,61.64,1.46,18.225399999999993,17.97,0.64,0.72,0.09,0.65,18.0773,12.33,20.04,39.8,2.89,0.25,15.0,0.19,46.95,3.0,21.35,5.0,85.01,17.62,-1.23,2.71,3.17,35.84,-2.7,12.93,128.76,209.9,149236994.02,1792522417.64,5.89,33.0,6.4,11.11,188.04,7.357900000000001,76.0,63.0,29.86,0.481
Lithuania,22.2,100.0,96.72,91.93,12.03,47.58,31.32,17.95,2.27,1.51,72.96,1041.7900999999993,11.89,2.7,0.16,12.3,45.0,9.1,10.42,100.0,2.5,243.91370000000003,7.360800000000003,86.30259999999997,87.00219999999996,0.0,0.81,2.57,2.91,39.84140000000001,-0.3,8.0,63.33,3.27,79.33,4.03,60.0,2.1,0.13499999999999995,44.0,0.2,28.0,21.23,5393.17,617.67,33.17,11.5,13.69,8.0,61.30099999999997,12.6,9.79,1.64,34.0,6.35,0.1,0.73,92.0,92.0,82.0,37.43230000000001,35.8443,45.46,82.02,93.53,1.02,0.96,0.99,4.922199999999998,29.36,24.11,39.24,0.0,148.23,3.2,57.0,1.49,53.0818,3.0,100.0,95.0,33.56,3.77,5.28,47.13,11.5,83.0,5.7,8.03,374.7426000000001,335.3876,15119250000.0,11058091950.0,18.19,3121.8,16.0,16.21,352.01980000000003,24.89,100.0,99.99,99.0,0.875
Luxembourg,17.039199999999997,88.7,99.57,97.94,9.44,56.21,34.61,6.43,0.9,0.59,81.24,2207.1173999999987,10.3,5.03,0.05,18.9,143.31,47.2,6.0298000000000025,100.0,2.5,7067.062499999997,5.939000000000002,85.02120000000005,2922.5521999999996,0.0,3.98,0.91,0.23,70.83320000000002,0.6,5.0,8.0,1.93,10.0,2.4,9.0,1.4,0.12,8.0,0.2,0.0,9.97,447.25,52.0,13.47,6.6,12.94,6.3,51.9865,4.0,3.38,0.15,12.0,4.55,0.0,0.1,99.0,90.0,96.0,34.197700000000005,31.1578,42.17,80.77,80.61,1.06,1.09,0.72,7.779299999999999,25.11,30.0,24.51,0.0,1179.77,3.75,90.0,0.23,111.37750000000004,1.8,100.0,95.0,15.43,2.85,1.01,116.58,67.48,98.77,0.0,5.3,565.0811000000003,596.4562,3900959895.0,3973234901.28,4.75,4826.6,4.2,42.15020000000001,597.2678999999999,20.02,99.0,99.0,97.0,0.93
Madagascar,64.83,4.6,58.85,11.54,19.82,47.21,54.82,15.67,7.27,4.38,70.39,785.3,21.96,0.56,1.16,0.57,159.88,56.9,32.88,78.0,41.7,1637.75,41.63,55.97,253.39,0.0,0.24,6.38,27.05,90.15,0.2,335.0,21537.33,38.1,29840.0,53.5,17671.0,20.6,0.28,233.0,4.4,20224527.0,22.97,9033.33,648.67,3.9,2.6,1.98,28.6,65.9,152.0,1.64,0.21,52.0,128.0,30.2,3.3,75.0,53.55,75.0,115.53,112.7,0.83,9.68,20.21,0.94,0.56,0.04,4.07,17.304699999999997,15.89,31.77,41.59,0.67,11.3,36.0,0.44,24.33,2.0,30.93,5.0,82.62,8.87,1.81,2.94,2.38,17.93,2.0,6.73,222.63,178.25,1175683601.76,6242550959.59,6.25,30.4,6.7,12.91,131.43,3.56,80.0,65.0,25.0,0.501
Malawi,41.8,2.3,73.36,28.6,15.78,35.08,63.01,7.66,2.83,3.18,66.38,1676.94,22.02,0.67,1.36,0.48,119.0,14.4,24.21,5.6,18.8,1105.47,38.99,72.25,36.86,0.0,0.58,16.06,27.25,129.42,0.2,349.0,14428.0,35.23,20150.67,49.6,13868.0,22.4,2.77,181.0,3.0,12423068.0,16.57,4673.0,446.0,3.7,3.5,3.67,31.0,73.9,137.6,4.21,0.89,38.0,92.0,28.3,2.0,92.0,72.0,92.0,242.7,236.62,1.2,4.28,27.88,0.83,0.66,0.15,2.52,14.57,22.92,15.62,4.59,2.74,17.5,40.0,25.06,84.17,3.0,24.64,5.0,75.9,4.13,1.3,5.21,3.37,33.83,1.0,32.63,104.08,395.83,40697121.06,3745608751.58,9.1,36.5,4.8569999999999975,23.05,263.44,11.34,84.0,54.0,30.0,0.512
Malaysia,0.77,19.8,95.04,99.37,19.74,41.81,151.01,5.08,1.48,1.42,58.78,-1390.02,16.68,3.41,0.3,11.1,419.0,33.0,28.21,98.97300000000003,3.0,528.6,20.7,153.22,293.67,0.0,0.31,2.35,7.54,2.67,-0.7,29.0,2334.0,6.67,2720.0,7.77,2252.0,4.3,0.19,92.0,0.2,80797.0,17.1,14900.33,1150.67,5.5,3.0,0.84,23.6,75.008,9.3,0.74,0.04,41.0,7.0,0.4,0.47,99.0,99.0,86.0,2.13,-1.86,14.15,56.26,75.73510000000002,1.0188,0.8639000000000003,0.6382000000000001,6.22,11.91490000000001,14.41,24.65,0.47,15.85,3.4,43.0,1.23,2.37,2.0,100.0,95.0,5.21,4.18,3.34,46.6,10.24,85.25,2.6,12.57,6.45,12.81,28194212031.73,109496614217.55,22.66,2541.2,16.9,40.47,5.6,44.12,96.3,96.3,93.0,0.803
Maldives,8.2,100.0,99.14,99.37,11.28,41.0,60.71,2.4,8.9,3.7,53.87,218.4,7.65,1.58,0.18,9.14,12.0,26.47,13.4817,98.8,4.4780000000000015,6.16,18.96,2.03,3.46,0.0,0.06,0.31,5.59,4.9,0.0,53.0,35.33,7.37,41.33,8.6,34.0,4.8,1.0803000000000011,33.0,0.2,3411.0,13.3,139.0,6.33,2.2,2.33,2.05,0.9,29.2,8.9,19.86,6.17,19.0,7.0,0.3,0.0,99.0,99.0,87.12,3.0,2.42,28.84,47.581799999999994,59.47,0.89,0.32,0.24,2.05,6.13,4.6,19.58,0.0,78.146,15.7,35.0,5.14,11.24,2.0,99.79,95.0,1.23,3.25,2.89,31.81,13.11,68.32400000000001,2.1,23.43,76.65,100.28,15502985.05,1372696548.04,2.2,223.1,11.0,37.062400000000004,87.59,2.63,100.0,100.0,100.0,0.747
Mali,41.1,2.87,79.6,41.16,16.53,50.94,82.71150000000002,12.4267,13.751200000000008,2.471199999999999,71.06,1519.92,30.09,1.34,1.34,0.8,277.0,37.891000000000005,33.69,86.7,5.1,930.47,26.89,68.1,311.16,0.0,0.39,13.35,34.06,209.88,0.2,562.0,32215.33,61.83,50164.67,97.63,25934.0,32.7,0.9,53.0,4.9,7535901.0,24.47,6264.42,572.0,4.8,0.77,1.29,23.1,41.2,164.0,6.48,1.11,82.0,159.0,70.7,3.3,71.0,50.07,68.0,131.21,128.0,1.26,17.832499999999992,29.68,0.56,0.49,0.11,4.58,25.25,9.52,40.15,6.6,1.43,8.0,53.0,0.13,150.59,3.0,47.33,5.0,58.59,2.56,3.52,4.72,5.03,35.53,1.7,28.63,552.85,314.34,1023951867.98,5578444355.9,11.22,95.5,4.2,18.75,147.2,10.276100000000001,100.0,66.0,31.0,0.428
Malta,15.7452,80.93,100.0,99.97,13.15,48.63,37.16,16.63,3.36,0.71,79.4,-210.32,13.98,3.11,0.11,14.47,31.0,28.1,4.296800000000001,100.0,2.5,240.64530000000002,6.853199999999998,253.34389999999988,64.82669999999995,0.0,1.04,0.88,0.91,42.97639999999999,0.0,6.0,17.33,6.1,20.0,7.0,20.0,4.7,0.8665000000000004,14.0,0.4,6.0,10.8,437.67,21.33,7.47,3.6,7.99,6.1,62.647499999999994,12.5,15.93,2.81,20.0,7.06,0.0,0.13,97.0,95.0,89.87,26.789700000000003,22.102600000000002,35.28,65.65,86.98,1.03,0.9733999999999997,0.86,4.1324000000000005,26.29,13.43,28.9,0.0,161.23,77.1,75.0,0.59,79.00630000000002,1.76,100.0,95.0,7.36,1.64,6.23,52.59,29.67,97.37,5.0,7.33,357.0168000000001,275.1683,29815701.63,1944165061.09,7.12,2151.6,11.3,27.28,0.02,37.97,100.0,100.0,100.0,0.918
Mauritania,37.07,8.0,69.96,47.38,9.33,43.31,70.68390000000002,12.715699999999996,12.964799999999991,1.6750000000000005,44.32,446.28,41.27,1.48,1.15,1.36,30.89,33.501999999999995,28.85,65.6,11.9,152.66,22.83,10.23,76.83,0.0,0.22650000000000006,4.962399999999999,23.5044,34.65,-0.1,766.0,5021.33,51.43,7289.33,75.57,4963.0,33.5,0.03,93.0,4.3,916692.0,18.13,1325.67,126.0,4.4,0.4,0.04,24.7,30.5,84.0,11.66,2.95,88.0,107.0,38.6,1.87,81.0,48.98,77.0,18.25,17.99,2.88,7.1,35.11,0.67,0.58,0.11,1.67,31.37,20.26,15.313299999999996,32.88,2.29,13.2,45.0,0.02,65.08,3.0,41.84,43.0,23.34,4.63,0.76,10.46,10.92,20.88,3.6,38.4,72.89,218.91,614722981.73,1935238820.79,7.48,92.8,6.957999999999996,18.56,189.93,5.786399999999999,96.0,43.0,0.0,0.556
Mauritius,7.9,100.0,99.87,95.55,19.65,45.06,25.56,13.95,6.52,1.65,56.34,-1485.68,13.53,2.18,0.21,10.07,9.0,40.8,3.9,97.03800000000005,5.3,242.6189,10.0458,16.041599999999985,58.01329999999997,0.0,0.77,2.14,2.78,4.84,-0.6,61.0,116.67,13.57,134.0,15.47,119.0,9.2,0.61,13.0,0.6,1.0,22.63,1303.67,65.33,7.83,5.57,4.38,13.7,40.8,24.0,8.85,1.79,30.0,9.0,0.6,0.1,97.0,99.0,96.0,0.93,0.93,16.86,60.01,74.0624,1.032,0.9072000000000001,0.5850000000000003,2.07,26.17,20.0,32.14,0.12,17.63,23.95,64.0,0.79,0.38,2.23,95.88,95.0,9.72,2.31,3.55,43.17,17.11,89.89,3.2,20.5,128.33,77.34,58429250.0,8115463551.85,11.84,1265.1,19.2,35.89,64.29,5.24,99.0,99.0,99.0,0.802
Mexico,52.17,86.1,98.64,89.0,17.94,34.58,42.27,-5.59,2.05,2.2,63.74,20625.46,20.48,1.76,0.18,9.69,725.0,34.3,17.6,95.0,7.1,1129.45,10.03,598.47,223.9,0.0,0.54,1.79,3.31,39.81,-0.3,33.0,16239.33,10.93,18908.0,12.7,16676.0,7.5,0.08,23.0,0.0,19900177.0,15.73,62571.25,4358.0,5.13,2.33,5.03,13.1,79.8,70.5,1.55,0.23,25.0,14.0,1.1,0.43,88.0,99.0,88.0,2.05,2.03,12.41,63.47,79.64,1.04,0.84,0.75,8.42,45.01,48.2,36.1,1.47,12.94,31.4,49.0,0.55,1.45,2.0,100.0,84.0,9.54,3.37,0.85,58.82,14.49,37.11,-1.0,18.43,388.58,260.44,93697810234.93,378141299181.5,16.71,1649.6,16.6,15.45,1013.83,41.61,89.64,89.64,88.2,0.758
Mongolia,22.27,100.0,78.4,55.44,12.65,41.45,65.07069999999999,12.52890000000001,7.739500000000001,2.1961,46.64,626.11,44.97,6.48,1.6,5.19,118.0,22.9,33.42,99.6,21.3,35.81,9.42,40.0,3.49,0.0,0.12,1.58,13.36,18.23,0.3,45.0,716.0,13.97,832.67,16.27,665.0,8.7,0.02,428.0,1.7,1810.0,30.3,1986.67,261.33,13.03,7.87,8.25,16.5,63.6,32.6,2.36,0.45,79.0,95.0,1.3,1.6,99.0,98.0,26.0,24.74,22.93,18.72,36.59,72.95,0.93,0.58,0.36,10.91,26.69,17.33,39.01,13.88,21.87,3.4,43.0,0.9,24.36,2.0,80.47,50.0,3.55,5.93,4.81,106.88,69.17,92.91,5.3,18.9,233.6,135.65,9466435895.14,8920094233.13,8.1,357.3,8.0,38.71,281.72,5.37,100.0,95.0,45.0,0.739
Montenegro,24.0,52.3,97.41,97.13,11.991900000000005,45.72,35.43,8.63,7.43,1.01,77.55,249.72,19.74,2.51,0.32,10.69,2.0,28.7,18.78,99.4,2.5,3.6,9.39,8.55,1.08,0.0,0.08,0.61,8.06,11.01,-0.7,6.0,11.33,2.3,12.67,2.53,12.0,1.7,0.1,15.0,0.7,0.0,20.63,925.58,43.33,10.33,6.03,11.58,10.7,27.8,10.0,10.27,0.78,43.0,41.0,0.0,0.5,87.0,83.0,73.74,0.18,-0.28,20.56,54.79,77.36,0.73,0.49,0.58,1.14,27.77,29.63,28.77,0.07,20.85,7.736499999999998,34.0,1.95,26.56,2.0,100.0,56.0,38.13,4.16,5.04,87.03,43.61,68.37,2.5,16.13,150.54,125.63,68033625.0,230518559.33,3.89,292.6,6.1,35.86,171.14,14.86,99.58,98.0,97.62,0.832
Morocco,8.0,39.8,84.72,87.28,17.3,43.52,81.63750000000002,13.092500000000005,8.345399999999998,1.3001000000000005,60.79,-123.77,31.04,1.39,0.39,4.62,11.0,23.1,37.25,96.1,4.3,526.86,15.11,380.37,90.28,3.0,0.01,0.18,12.33,330.39,-0.6,70.0,8756.0,19.17,10241.33,22.37,9441.0,13.8,0.03,99.0,0.5,40.0,12.33,18756.33,675.67,2.87,0.43,0.7,19.6,72.0,19.0,22.0,2.7,45.0,5.0,1.9,0.6,99.0,99.0,99.0,20.0,16.37,6.29,20.69,30.54,0.59,0.33,0.04,24.33,20.87,20.51,12.79,8.75,8.42,50.8,64.0,0.13,165.25,3.0,100.0,95.0,10.42,3.17,2.4,27.79,24.89,28.97,1.3,26.1691,999.47,766.14,6306959901.47,40742175066.55,15.48,495.0,10.5,47.84,956.27,27.75,99.7,98.0,96.0,0.683
Mozambique,50.87,17.3,60.0,32.81,17.88,49.66,86.11189999999993,8.988099999999996,12.290400000000007,2.9975999999999976,86.5,3671.1,18.93,0.43,0.83,0.54,27.0,34.8,21.06,55.0,32.6,1960.43,42.29,323.65,204.89,0.0,0.04,1.05,24.52,141.46,-0.9,289.0,39223.33,53.93,52573.33,73.13,30806.0,27.8,6.6,551.0,3.7,23023478.0,18.47,8358.08,941.33,4.93,3.27,2.35,30.1,55.5,180.0,1.61,0.4,35.0,89.0,27.6,2.93,80.0,59.0,80.0,174.15,173.1,1.97,18.22,19.18,0.65,0.51,0.2,3.41,38.39929999999997,41.2,24.33,24.51,7.88,1.8,55.0,1.45,118.55,2.0,34.33,5.0,59.45,13.19,0.46,10.82,4.24,41.87,-1.5,24.43190000000001,652.1,488.37,3177064402.96,5855488124.7,8.68,47.9,4.1,11.13,315.03,10.89,85.0,82.0,33.0,0.446
Myanmar,32.1,19.3,83.88,66.53,10.46,44.43,59.78,16.641400000000004,9.0637,-0.02,71.03,2114.72,34.65,0.62,0.5,1.55,72.0,48.13800000000001,29.33,81.3,14.1,1335.1,29.37,68.47,301.16,0.0,0.15,3.78,26.27,219.94,-0.05199999999999999,250.0,23036.0,36.77,28946.67,46.13,21742.0,23.1,0.27,338.0,2.0,41778536.0,24.33,35799.17,2742.67,7.73,1.9,5.19,19.9,74.9,28.0,14.36,2.78,66.0,114.0,12.6,1.4,91.0,87.0,91.0,106.36,104.94,4.54,29.40849999999997,46.54,1.03,0.67,0.23,14.21,18.1177,11.11,32.34,7.89,0.98,5.8,27.0,1.01,114.62,1.0,74.1,28.0,60.57,3.19,5.56,5.63,5.09,25.99,5.4,13.47,1997.77,675.16,5416775576.74,26299894430.55,23.03,342.0,11.1,15.18,452.48,7.62,95.15,94.15,75.0,0.585
Namibia,23.13,98.4,82.72,34.72,7.64,47.59,27.86,13.95,3.58,2.86,69.46,374.43,21.77,2.1,0.36,6.39,4.0,3.2,9.12,78.1,14.7,71.3,22.72,12.55,22.41,0.0,0.69,4.95,7.19,14.98,-0.9,195.0,1346.67,28.9,1836.0,39.53,1092.0,15.6,3.26,524.0,0.7,1094020.0,21.57,971.92,144.0,8.8,6.43,5.53,30.4,80.4,63.9,1.22,0.21,61.0,102.0,18.3,1.53,89.0,50.0,61.0,17.07,17.07,6.72,20.68,50.93,1.0,0.6,0.19,0.73,45.09,42.71,43.57,48.38,26.23,0.9,59.0,0.03,5.25,0.0,52.82,46.0,28.1,3.49,-1.94,72.45,11.39,80.63,-2.5,31.77,37.4,44.14,1021755451.77,5316632152.74,11.63,541.9,7.2,21.13,67.33,7.35,100.0,53.0,39.0,0.615
Nepal,22.7,66.1,88.9,63.37,14.1,37.11,24.81,3.08,1.56,2.57,78.14,1473.01,96.89,0.73,0.99,0.93,350.0,45.102,14.45,56.2,6.1,997.46,36.02,32.53,266.84,0.0,0.26,6.64,25.29,90.72,0.3319999999999999,186.0,9987.33,26.63,12085.33,32.13,11215.0,19.9,0.03,151.0,0.3,14520580.0,21.93,16280.5,1696.0,8.8,1.83,2.1,15.9,56.0,88.2,10.71,2.41,112.0,120.0,19.8,0.43,91.0,69.0,82.0,55.42,54.0,10.87,31.4349,51.56,0.75,0.79,0.39,4.3,40.96,32.73,13.17,17.9,2.13,8.3,33.0,0.14,136.17,2.0,96.31,29.0,76.56,7.84,4.9,14.28,15.47,45.66,3.9,31.37,774.33,440.54,1713049249.65,7738810429.47,5.41,48.5,15.1,30.72,334.49,8.38,92.47,54.1,15.47,0.602
Netherlands,13.5077,98.97,100.0,98.37,12.81,63.88,167.0,26.59,1.94,0.7,60.1,3148.3129999999987,12.1,2.41,0.04,21.61,952.0,25.8,6.5296,100.0,2.5,403.45339999999965,6.1737,298.7458000000001,154.16109999999995,15.0,0.2,0.38,1.86,45.4375,0.9,5.0,378.67,3.3,445.33,3.87,369.0,2.1,0.03,5.3,0.0,2.0,11.2,16553.33,1426.67,12.6,1.47,9.65,3.8,77.13600000000001,2.9,9.623000000000001,1.1554,14.0,5.81,0.2,0.1,93.0,89.0,93.0,33.31690000000001,31.055099999999992,38.77,85.46,86.81,1.1,0.9990000000000001,0.95,10.383300000000002,31.79,33.33,25.66,0.0,44.33,15.2,93.0,3.13,79.84520000000005,0.0,100.0,95.0,6.5,3.72,2.37,41.08,10.94,99.64,1.0,4.2,351.37160000000006,387.4035999999996,32179128725.91,113611403092.65,10.99,5414.5,9.2,38.326800000000006,560.4016,48.53,100.0,99.0,99.0,0.941
New Zealand,17.013099999999998,100.0,100.0,100.0,16.82,51.25,33.41470000000001,17.82820000000001,3.440399999999999,1.1732000000000005,46.4,1781.9329999999995,5.78,4.27,0.11,19.19,2.0,18.2,6.513100000000004,100.0,2.5,266.37180000000006,6.170100000000003,49.26100000000001,86.99789999999997,0.0,0.31,1.38,4.52,36.5521,-0.1710000000000001,9.0,188.0,4.7,227.33,5.7,208.0,3.5,0.04,7.3,1.2,3.0,10.1,3607.83,377.33,12.2,4.03,10.73,7.8,66.30899999999998,13.8,9.035600000000002,1.0333999999999999,7.0,6.4,0.1,0.2,93.0,90.0,96.0,30.061200000000007,29.457700000000017,43.45,77.01,76.48859999999995,1.0458,0.9475,0.6584,4.250799999999999,39.41,40.83,39.95,0.0,32.78,8.0,58.0,2.67,50.83740000000002,3.0,100.0,95.0,30.43,5.02,1.94,64.58,26.75,99.17,1.4,11.93,314.1255000000001,364.7983999999999,7701889818.91,20330625083.98,10.7,4447.3,9.5,40.61860000000001,306.5934999999999,18.53,98.0,98.0,97.0,0.937
Nicaragua,29.93,23.7,79.4,73.21,17.92,58.61,42.39,-6.48,2.43,1.92,61.61,470.22,17.93,1.33,0.66,2.46,52.0,17.6,6.48,84.7,17.2,115.67,17.26,55.41,14.44,0.0,0.3287999999999998,3.1406,12.226700000000001,16.09,-1.2,98.0,1396.67,15.67,1633.33,18.27,1254.0,9.4,0.06,41.0,0.1,1611101.0,14.23,2329.25,500.0,12.27,6.67,5.24,16.5,92.6,92.0,14.82,3.04,24.0,37.0,2.2,0.6,98.0,95.0,98.0,19.23,18.56,6.84,38.94,54.11,1.2,0.56,0.7,0.68,41.1432,47.25,33.54,7.24,6.86,2.7,32.15,8.07,63.05,2.07,85.03,48.0,47.15,5.02,-5.02,22.16,9.44,31.02,-5.2,15.2,143.06,155.36,1169513519.9,28187397148.99,13.49,260.5,11.5,58.68,184.19,10.957500000000003,91.0,85.0,42.0,0.667
Niger,39.43,5.8,59.4,21.68,16.78,30.68,96.44410000000002,17.6831,12.605599999999999,2.4697,80.96,1171.44,71.91,0.64,1.62,0.47,67.0,53.5,7.8,63.9,25.413000000000007,2183.36,48.48,46.47,636.55,0.0,0.34940000000000004,6.789999999999999,35.63179999999999,170.43,-0.6,509.0,32470.0,47.87,55026.0,83.53,26085.0,25.2,0.09,87.0,6.0,14338992.0,19.97,5705.75,631.33,4.6,0.7,0.68,26.2,45.5,154.0,6.63,1.86,125.0,181.0,70.8,4.17,79.0,48.0,79.0,104.01,103.2,0.79,13.86,12.11,0.6,0.22,0.33,1.34,15.8,16.96,15.968499999999995,52.6,2.5,7.5,50.0,0.02,82.28,2.0,32.66,5.0,79.48,6.64,3.0,1.66,1.51,15.46,2.4,25.23,876.04,245.99,338361463.43,2096778007.14,5.36,20.8,6.7,6.72,163.11,16.86,92.0,24.0,0.0,0.4
